amfi_code,cagr_3yr_pct,sharpe_ratio,alpha,max_drawdown,scheme_name,fund_house,category,expense_ratio_pct,return_3yr_rank,sharpe_rank,alpha_rank,expense_rank,max_dd_rank,return_score,sharpe_score,alpha_score,expense_score,max_dd_score,fund_score,overall_rank
148567,33.991970400445304,1.4482911703262595,0.2698375144191807,-0.11265729075028275,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1.46,2,1,7,23,8,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,31.769242852237323,1.1801011976606495,0.2926358334175106,-0.18188513572116294,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1.36,5,5,3,15,25,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,29.57511058901836,1.3067439695428407,0.27330465038306057,-0.1297396816518679,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.45,7,2,5,22,13,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,32.43397122906222,1.0936987435346308,0.2719535450128533,-0.16217208574644848,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1.38,4,7,6,16,20,92.5,85.0,87.5,62.5,52.5,81.125,4
120504,32.478927222623,1.0265242847993004,0.2119482701352573,-0.12588275606922517,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,0.8,3,10,13,12,12,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,35.10252788903541,0.9982309868636414,0.2607666908004223,-0.20960883862039192,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,1,11,9,16,28,100.0,75.0,80.0,62.5,32.5,77.375,6
119551,30.448613060027817,1.2082665673727175,0.23201007160635082,-0.1501238549864533,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.54,6,4,10,30,17,87.5,92.5,77.5,27.500000000000004,60.0,75.0,7
148569,29.17135767741186,1.2349300257743296,0.2827036785246582,-0.1639674294693263,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1.6,8,3,4,36,21,82.5,95.0,92.5,12.5,50.0,73.875,8
101206,28.960211096593724,1.0272133278753697,0.21399784776051212,-0.11291596329323073,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.6,9,9,12,36,9,80.0,80.0,72.5,12.5,80.0,68.375,9
119598,26.66309129954312,0.9453082575156093,0.3033696538698332,-0.2870600572176455,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1.43,12,14,1,21,36,72.5,67.5,100.0,50.0,12.5,67.375,10
149324,26.99350260734621,0.9497958246616031,0.3005787817097677,-0.31171900300634214,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,10,13,2,26,37,77.5,70.0,97.5,37.5,10.0,66.875,11
118632,22.646647456747715,1.0816591793457044,0.21829397904608644,-0.17414075086657232,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,14,8,11,24,23,67.5,82.5,75.0,42.5,45.0,66.75,12
149323,26.863103668817146,1.1321218524747245,0.26598577542043045,-0.17248105753451382,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.61,11,6,8,38,22,75.0,87.5,82.5,7.5,47.5,66.75,12
119552,16.263375081360643,0.9532794968660103,0.1986859936686296,-0.11803493502764295,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.66,23,12,15,4,11,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,18.429918008610045,0.7757902498211207,0.17729754927531766,-0.15200013055606398,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,19,18,16,14,18,55.00000000000001,57.49999999999999,62.5,67.5,57.49999999999999,59.25,15
118635,20.00321571698329,0.6648569985490619,0.1513635464823924,-0.1165062450540909,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,17,19,23,13,10,60.0,55.00000000000001,45.0,70.0,77.5,59.0,16
118633,21.084691029380597,0.6452074382933215,0.15643835948169668,-0.18629743138595511,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,15,21,22,5,26,65.0,50.0,47.5,90.0,37.5,58.75,17
102885,19.662361245910965,0.8170993373494368,0.17048756803412696,-0.1085986215250232,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,18,16,19,34,7,57.49999999999999,62.5,55.00000000000001,17.5,85.0,55.0,18
148568,14.744434832760533,0.9262873467360146,0.20873010086942337,-0.1527259422823477,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,24,15,14,26,19,42.5,65.0,67.5,37.5,55.00000000000001,53.625,19
120503,13.974980348212673,0.7979728586052847,0.17703302365844073,-0.13897862823061635,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,25,17,17,20,14,40.0,60.0,60.0,52.5,67.5,53.625,19
120506,18.417429266835228,0.6488787755249532,0.1625385327998104,-0.1982565826298267,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,20,20,20,19,27,52.5,52.5,52.5,55.00000000000001,35.0,51.125,21
120507,7.392538786263403,0.4957233929533124,0.06746210411099539,-0.0009773140045925555,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,29,23,31,7,1,30.0,45.0,25.0,85.0,100.0,48.0,22
119093,20.8115598266319,0.12961449795669325,0.08232801295222093,-0.21751396370148224,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,16,29,28,8,31,62.5,30.0,32.5,82.5,25.0,47.625,23
102887,25.549670172502026,0.6195175900829828,0.16211256794033255,-0.21539827112383225,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,13,22,21,39,30,70.0,47.5,50.0,5.0,27.500000000000004,46.375,24
149322,18.03973982038829,0.4640374492204777,0.13173190226099432,-0.14844576917771746,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,21,25,24,30,16,50.0,40.0,42.5,27.500000000000004,62.5,43.875,25
125498,11.242518737374208,0.3006119210425478,0.11989100971217971,-0.21117279560132118,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,26,27,26,10,29,37.5,35.0,37.5,77.5,30.0,42.125,26
